metric,value,frequency,proportion
anchor_incidences,0,31585,0.31585
anchor_incidences,1,39552,0.39552
anchor_incidences,2,20793,0.20793
anchor_incidences,3,6193,0.06193
anchor_incidences,4,1494,0.01494
anchor_incidences,5,319,0.00319
anchor_incidences,6,60,0.0006
anchor_incidences,7,4,4e-05
pairwise_shared_anchor_links,0,87195,0.87195
pairwise_shared_anchor_links,1,11287,0.11287
pairwise_shared_anchor_links,2,368,0.00368
pairwise_shared_anchor_links,3,1036,0.01036
pairwise_shared_anchor_links,4,49,0.00049
pairwise_shared_anchor_links,5,2,2e-05
pairwise_shared_anchor_links,6,60,0.0006
pairwise_shared_anchor_links,7,2,2e-05
pairwise_shared_anchor_links,10,1,1e-05
occupied_anchors,0,31585,0.31585
occupied_anchors,1,47033,0.47033
occupied_anchors,2,18047,0.18047
occupied_anchors,3,3257,0.03257
occupied_anchors,4,78,0.00078
nodes_with_anchor,0,31585,0.31585
nodes_with_anchor,1,40364,0.40364
nodes_with_anchor,2,21251,0.21251
nodes_with_anchor,3,5803,0.05803
nodes_with_anchor,4,922,0.00922
nodes_with_anchor,5,74,0.00074
nodes_with_anchor,6,1,1e-05
base12_palindromes,0,60113,0.60113
base12_palindromes,1,31969,0.31969
base12_palindromes,2,7029,0.07029
base12_palindromes,3,848,0.00848
base12_palindromes,4,41,0.00041
